Date Time,Nominal Total,Risk Capital,Leverage
6/19/2019 5:00:00 AM,1534500,530586.160000001,2.89208448256546
6/19/2019 5:30:00 AM,1533850,530586.160000001,2.8908594223415
6/19/2019 6:00:00 AM,1535250,530586.160000001,2.89349801359311
6/19/2019 6:30:00 AM,1535350,530586.160000001,2.8936864843968
6/19/2019 7:00:00 AM,1535650,530586.160000001,2.89425189680786
6/19/2019 7:30:00 AM,1534700,530586.160000001,2.89246142417284
6/19/2019 8:00:00 AM,1536150,530586.160000001,2.89519425082629
6/19/2019 8:30:00 AM,1536200,530586.160000001,2.89528848622813
6/19/2019 9:00:00 AM,1536500,530586.160000001,2.89585389863919
6/19/2019 9:30:00 AM,1535800,530586.160000001,2.89453460301339
6/19/2019 7:00:00 PM,3085500,526829.360000001,5.85673509160536
6/19/2019 7:30:00 PM,3088400,526829.360000001,5.86223972027678
6/19/2019 8:00:00 PM,3090900,526829.360000001,5.8669850898211
6/19/2019 8:30:00 PM,3091700,526829.360000001,5.86850360807528
6/19/2019 9:00:00 PM,3094500,526829.360000001,5.87381842196493
6/19/2019 9:30:00 PM,3252585,526829.360000001,6.17388711973075
6/19/2019 10:00:00 PM,3254370,526829.360000001,6.17727531358539
6/19/2019 10:30:00 PM,3257100,526829.360000001,6.1824572571278
6/19/2019 11:00:00 PM,3256155,526829.360000001,6.18066350744004
6/19/2019 11:30:00 PM,3259095,526829.360000001,6.18624406202417
6/20/2019 12:00:00 AM,3260250,526829.360000001,6.18843642275365
6/20/2019 12:30:00 AM,3259305,526829.360000001,6.18664267306589
6/20/2019 1:00:00 AM,3260565,526829.360000001,6.18903433931623
6/20/2019 1:30:00 AM,3258150,526829.360000001,6.18445031233641
6/20/2019 2:00:00 AM,3256995,526829.360000001,6.18225795160694
6/20/2019 2:30:00 AM,3263085,526829.360000001,6.19381767181691
6/20/2019 3:00:00 AM,3264450,526829.360000001,6.19640864358811
6/20/2019 3:30:00 AM,3268545,526829.360000001,6.20418155890172
6/20/2019 4:00:00 AM,3266760,526829.360000001,6.20079336504707
6/20/2019 4:30:00 AM,3268545,526829.360000001,6.20418155890172
6/20/2019 5:00:00 AM,3272220,526829.360000001,6.21115725213187
6/20/2019 5:30:00 AM,3274845,526829.360000001,6.21613989015341
6/20/2019 6:00:00 AM,3274110,526829.360000001,6.21474475150738
